"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"Y","芝中学付録","芝中学-0概要","1",N,"N","0"
"N",,,,,,
"Y","芝中学2021","芝中学-2021-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第1回-理科","15-23",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第1回-国語","31-24",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-算数","47-49",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-社会","50-62",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-理科","63-71",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-国語","72-78",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-解答","32-45,79-92",N,"N","0"
"Y","芝中学付録","芝中学-2021-第1回-解答用紙","34-37",N,"N","0"
"Y","芝中学付録","芝中学-2021-第2回-解答用紙","38-40",N,"N","0"
"N",,,,,,
"Y","芝中学2025","芝中学-2025-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-理科","15-24",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-国語","33-25",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-算数","49-51",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-社会","52-63",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-理科","64-76",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-国語","85-77",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-解答","34-47,86-99",N,"N","0"
